,rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
893,894,sign,v,107633,108.39,0.08,0.01,61843,0.96,13956,14362,13739,13183,7220,15699,23500,5974,112.32,111.67,107.27,104.51,61.02,124.51,193.03,49.87
897,898,hurt,v,107262,108.02,0.03,0.01,57630,0.98,11892,10636,33395,15496,16890,7451,9517,1985,95.71,82.7,260.75,122.85,142.75,59.09,78.17,16.57
906,907,lay,v,105812,106.56,0.05,0.0,60479,0.96,9390,12908,11415,10479,31030,13832,9580,7178,75.57,100.36,89.13,83.08,262.25,109.7,78.69,59.92
914,915,indicate,v,105304,106.04,0.01,0.0,48772,0.89,8381,13484,2582,6861,5178,10148,7277,51393,67.45,104.84,20.16,54.39,43.76,80.48,59.77,429.02
930,931,exist,v,103550,104.28,0.01,0.0,57471,0.96,18667,20170,6863,8114,7253,11835,7245,23403,150.23,156.83,53.59,64.33,61.3,93.86,59.51,195.37
931,932,remove,v,103480,104.21,0.1,0.0,58165,0.97,14256,16294,5359,7025,11277,22028,15205,12036,114.73,126.69,41.84,55.69,95.31,174.7,124.9,100.48
945,946,avoid,v,101794,102.51,0.05,0.0,65736,0.97,16323,17074,4796,7197,9682,18445,12552,15725,131.37,132.75,37.45,57.06,81.83,146.28,103.1,131.27
947,948,release,v,101668,102.38,0.04,0.0,61223,0.96,15253,18137,6618,14687,6900,15285,18320,6468,122.76,141.02,51.67,116.44,58.32,121.22,150.48,53.99
950,951,treat,v,101438,102.15,0.03,0.0,57807,0.98,14870,15357,10131,12869,6292,15657,11441,14821,119.67,119.4,79.1,102.03,53.18,124.17,93.98,123.72
954,955,hate,v,100757,101.46,0.05,0.02,50169,0.97,17296,13548,31599,9010,17161,5967,4760,1416,139.2,105.34,246.72,71.43,145.04,47.32,39.1,11.82
956,957,visit,v,100463,101.17,0.05,0.0,64009,0.97,13581,14249,7175,8906,12176,17809,17146,9421,109.3,110.79,56.02,70.61,102.91,141.24,140.84,78.65
967,968,arrive,v,99819,100.52,0.02,0.0,62529,0.97,8386,11344,8280,9250,21504,16339,16846,7870,67.49,88.2,64.65,73.33,181.74,129.58,138.37,65.7
968,969,notice,v,99709,100.41,0.05,0.0,59214,0.96,15376,14129,11630,8480,28400,10545,6324,4825,123.75,109.86,90.81,67.23,240.02,83.63,51.95,40.28
983,984,affect,v,98073,98.76,0.01,0.0,56853,0.95,13128,15465,3619,11821,2745,12622,10434,28239,105.65,120.24,28.26,93.72,23.2,100.1,85.71,235.74
984,985,design,v,97967,98.66,0.03,0.0,57017,0.95,12353,14119,3584,6009,3766,20887,12264,24985,99.42,109.78,27.98,47.64,31.83,165.65,100.74,208.57
987,988,respond,v,97750,98.44,0.02,0.0,60492,0.97,13483,13272,3993,13504,8355,12839,12897,19407,108.51,103.19,31.18,107.06,70.61,101.82,105.94,162.01
988,989,control,v,97504,98.19,0.04,0.01,55599,0.97,13796,14860,8036,10015,5343,14369,10323,20762,111.03,115.54,62.74,79.4,45.16,113.96,84.79,173.32
991,992,manage,v,97135,97.82,0.02,0.0,62573,0.97,15370,14267,5506,6936,15688,15040,12424,11904,123.7,110.93,42.99,54.99,132.59,119.28,102.05,99.37
997,998,post,v,96926,97.61,0.33,0.0,33033,0.86,38922,39621,1730,2887,1331,4180,6628,1627,313.25,308.06,13.51,22.89,11.25,33.15,54.44,13.58
1000,1001,assume,v,96840,97.52,0.06,0.0,56459,0.97,18791,16728,8333,8562,8740,10321,6298,19067,151.23,130.06,65.06,67.88,73.87,81.85,51.73,159.17
1002,1003,perform,v,96202,96.88,0.02,0.0,51709,0.95,10733,15259,4271,7135,4853,13646,12818,27487,86.38,118.64,33.35,56.57,41.02,108.22,105.29,229.46
1008,1009,sleep,v,95600,96.27,0.05,0.01,45378,0.95,7241,9495,27541,7110,27158,9281,5434,2340,58.28,73.83,215.04,56.37,229.53,73.61,44.64,19.53
1010,1011,reveal,v,95401,96.07,0.02,0.01,56002,0.95,9943,14419,3024,6687,10945,16507,8339,25537,80.02,112.11,23.61,53.01,92.5,130.91,68.5,213.18
1016,1017,contain,v,95143,95.81,0.01,0.0,52654,0.94,10407,19939,2727,4015,6395,19017,8613,24030,83.76,155.03,21.29,31.83,54.05,150.82,70.75,200.6
1017,1018,beat,v,94941,95.61,0.07,0.01,53471,0.98,11753,10185,16856,11160,11644,13006,18402,1937,94.59,79.19,131.61,88.48,98.41,103.15,151.16,16.17
1022,1023,improve,v,94764,95.43,0.02,0.0,55843,0.94,14679,14188,1873,6160,2186,15619,14327,25732,118.14,110.32,14.62,48.84,18.47,123.87,117.68,214.81
1026,1027,head,v,94408,95.07,0.04,0.01,61720,0.97,9274,8635,13476,11623,20021,13417,14804,3158,74.64,67.14,105.22,92.15,169.21,106.41,121.6,26.36
1029,1030,address,v,94155,94.82,0.02,0.0,52421,0.94,13528,14119,1689,10102,3971,9109,10400,31237,108.87,109.78,13.19,80.09,33.56,72.24,85.43,260.76
1037,1038,relate,v,93433,94.09,0.02,0.0,49803,0.91,12492,16026,2661,6472,2434,8032,6712,38604,100.54,124.61,20.78,51.31,20.57,63.7,55.13,322.26
1050,1051,step,v,92268,92.92,0.08,0.01,56262,0.95,9095,8453,12271,10515,29096,9458,10261,3119,73.2,65.72,95.81,83.36,245.91,75.01,84.28,26.04
1052,1053,form,v,92198,92.85,0.03,0.0,55002,0.96,9674,15013,3259,4805,9171,19054,10490,20732,77.86,116.73,25.45,38.09,77.51,151.11,86.17,173.07
1054,1055,study,v,92101,92.75,0.03,0.0,53791,0.97,8776,10315,6568,6402,14630,15247,10114,20049,70.63,80.2,51.28,50.75,123.65,120.92,83.08,167.37
1056,1057,establish,v,91776,92.42,0.03,0.0,50913,0.93,9813,15697,2208,5231,2921,13058,10025,32823,78.98,122.05,17.24,41.47,24.69,103.56,82.35,274.0
1059,1060,stick,v,91597,92.24,0.06,0.01,59747,0.98,12941,10384,18981,9909,17812,11315,8271,1984,104.15,80.74,148.2,78.56,150.54,89.74,67.94,16.56
1063,1064,publish,v,91441,92.08,0.04,0.0,50234,0.95,15111,18057,1642,5391,4070,16889,11098,19183,121.61,140.4,12.82,42.74,34.4,133.94,91.16,160.14
1065,1066,sing,v,91395,92.04,0.14,0.03,35339,0.97,5765,8421,16346,19386,16141,9360,8687,7289,46.4,65.48,127.63,153.69,136.42,74.23,71.36,60.85
1069,1070,discover,v,90959,91.6,0.03,0.0,58775,0.97,11526,14211,6087,7842,11310,19006,9669,11308,92.76,110.49,47.53,62.17,95.59,150.73,79.42,94.4
1074,1075,maintain,v,90737,91.37,0.03,0.0,56399,0.95,12041,13803,2415,5592,4064,15522,11335,25965,96.91,107.32,18.86,44.33,34.35,123.1,93.11,216.75
1082,1083,fly,v,90236,90.87,0.05,0.01,48108,0.97,7788,8844,14769,12199,18661,13536,11663,2776,62.68,68.76,115.32,96.71,157.71,107.35,95.8,23.17
1089,1090,shall,v,89582,90.21,0.07,0.01,25665,0.87,8306,43996,15321,2753,7840,2724,1665,6977,66.85,342.08,119.63,21.83,66.26,21.6,13.68,58.24
1119,1120,born,v,86829,87.44,0.1,0.01,50909,0.98,10766,13848,10254,9589,11551,12117,12016,6688,86.65,107.67,80.06,76.02,97.62,96.1,98.7,55.83
1120,1121,admit,v,86631,87.24,0.02,0.0,56313,0.98,13638,12750,9570,10626,11416,11569,10781,6281,109.76,99.13,74.72,84.24,96.48,91.75,88.56,52.43
1127,1128,own,v,86371,86.98,0.02,0.01,52200,0.97,14208,12726,8521,7672,8163,12721,17096,5264,114.35,98.95,66.53,60.82,68.99,100.89,140.43,43.94
1128,1129,test,v,86155,86.76,0.07,0.01,45294,0.96,9204,10587,6082,7745,4221,17476,10014,20826,74.07,82.32,47.49,61.4,35.67,138.6,82.26,173.85
1130,1131,shake,v,85841,86.44,0.06,0.01,42017,0.88,4021,6862,7498,5587,46671,7200,6327,1675,32.36,53.35,58.54,44.29,394.44,57.1,51.97,13.98
1133,1134,shut,v,85625,86.23,0.25,0.01,44755,0.96,7607,7125,32631,7069,18178,5471,6148,1396,61.22,55.4,254.78,56.04,153.63,43.39,50.5,11.65
1135,1136,travel,v,85441,86.04,0.05,0.01,53314,0.98,11059,12737,7017,9147,10188,14746,13197,7350,89.0,99.03,54.79,72.52,86.1,116.95,108.4,61.36
1137,1138,hide,v,85395,86.0,0.05,0.01,50527,0.97,9189,10827,17962,7887,20553,8711,6303,3963,73.95,84.18,140.25,62.53,173.7,69.08,51.77,33.08
1139,1140,refer,v,85212,85.81,0.02,0.0,51236,0.95,12391,17609,2649,6506,4271,9428,9424,22934,99.72,136.91,20.68,51.58,36.1,74.77,77.41,191.45
1141,1142,drink,v,84895,85.49,0.06,0.01,41332,0.97,8227,8599,20371,7025,21034,9533,6191,3914,66.21,66.86,159.06,55.69,177.77,75.6,50.85,32.67
1151,1152,prevent,v,84179,84.77,0.02,0.0,51758,0.96,11683,14649,2474,8667,3350,16884,10419,16053,94.03,113.9,19.32,68.71,28.31,133.9,85.58,134.01
1156,1157,touch,v,83871,84.46,0.04,0.01,47842,0.95,6588,8260,18206,7381,26234,8312,5539,3351,53.02,64.22,142.15,58.52,221.72,65.92,45.5,27.97
1166,1167,suffer,v,82579,83.16,0.01,0.0,54431,0.97,12394,13145,6169,9036,6620,13317,12485,9413,99.75,102.21,48.17,71.64,55.95,105.61,102.55,78.58
1169,1170,experience,v,82550,83.13,0.03,0.0,49647,0.95,13392,13704,3328,5324,4484,12053,7380,22885,107.78,106.55,25.98,42.21,37.9,95.59,60.62,191.04
1181,1182,tend,v,81665,82.24,0.0,0.0,51245,0.95,13542,11892,2458,6953,4899,14762,8092,19067,108.99,92.46,19.19,55.12,41.4,117.07,66.47,159.17
1192,1193,reflect,v,80851,81.42,0.02,0.0,49659,0.93,8679,10428,1254,4966,4966,11939,9107,29512,69.85,81.08,9.79,39.37,41.97,94.69,74.81,246.36
1221,1222,define,v,78953,79.51,0.03,0.0,40744,0.92,10484,15227,1579,4916,1993,8342,5533,30879,84.38,118.39,12.33,38.97,16.84,66.16,45.45,257.78
1222,1223,handle,v,78899,79.45,0.02,0.01,52858,0.99,9973,9283,14659,10089,6789,11253,11397,5456,80.26,72.18,114.46,79.99,57.38,89.24,93.62,45.55
1227,1228,cost,v,78520,79.07,0.06,0.01,47648,0.96,12388,10386,5513,9084,3845,15239,16341,5724,99.7,80.75,43.05,72.02,32.5,120.86,134.23,47.78
1228,1229,announce,v,78426,78.98,0.01,0.0,53732,0.95,9729,10729,2335,11781,6919,12355,19103,5475,78.3,83.42,18.23,93.4,58.48,97.98,156.91,45.7
1233,1234,feed,v,78280,78.83,0.25,0.01,40539,0.98,13059,12506,8139,6950,9241,12544,8303,7538,105.1,97.24,63.55,55.1,78.1,99.48,68.2,62.93
1242,1243,trust,v,77728,78.27,0.15,0.01,43560,0.98,10665,9289,26569,7651,10034,5836,4575,3109,85.83,72.22,207.45,60.66,84.8,46.28,37.58,25.95
1246,1247,deliver,v,77338,77.88,0.02,0.0,51823,0.97,10420,11623,6579,7529,6253,14301,11859,8774,83.86,90.37,51.37,59.69,52.85,113.42,97.41,73.24
1251,1252,destroy,v,77088,77.63,0.03,0.01,42580,0.98,11686,13890,14199,9003,6768,8337,7235,5970,94.05,108.0,110.87,71.38,57.2,66.12,59.43,49.84
1260,1261,marry,v,76412,76.95,0.03,0.01,34435,0.98,6783,7984,20061,8627,15518,7584,6503,3352,54.59,62.08,156.64,68.39,131.15,60.15,53.42,27.98
1261,1262,promise,v,76397,76.93,0.06,0.01,48081,0.98,6249,7196,24569,7411,11420,7765,8034,3753,50.29,55.95,191.83,58.75,96.52,61.58,65.99,31.33
1274,1275,attend,v,75448,75.98,0.02,0.0,47559,0.96,10539,10447,2905,4681,5948,10440,16229,14259,84.82,81.23,22.68,37.11,50.27,82.8,133.31,119.03
1275,1276,replace,v,75439,75.97,0.03,0.0,50601,0.97,11077,11411,3635,5549,6472,14013,13559,9723,89.15,88.72,28.38,43.99,54.7,111.13,111.37,81.17
1279,1280,achieve,v,74946,75.47,0.02,0.0,44466,0.93,10929,11164,1908,5410,2422,11061,6552,25500,87.96,86.8,14.9,42.89,20.47,87.72,53.82,212.87
1284,1285,strike,v,74378,74.9,0.05,0.01,48387,0.98,8310,9481,5793,10326,12311,10271,12154,5732,66.88,73.72,45.23,81.86,104.05,81.46,99.83,47.85
1295,1296,count,v,73650,74.17,0.06,0.01,48330,0.98,11040,10114,10630,8216,10443,8682,8954,5571,88.85,78.64,83.0,65.14,88.26,68.85,73.55,46.51
1297,1298,engage,v,73493,74.01,0.02,0.0,42778,0.94,11107,11407,3468,7185,3363,7965,6308,22690,89.39,88.69,27.08,56.96,28.42,63.17,51.81,189.41
1300,1301,blow,v,73361,73.88,0.05,0.01,45107,0.97,7750,7278,18703,7807,16322,7787,6209,1505,62.37,56.59,146.03,61.89,137.95,61.76,51.0,12.56
1302,1303,express,v,73274,73.79,0.01,0.0,44508,0.95,10766,12875,2253,6357,3124,8380,8237,21282,86.65,100.11,17.59,50.4,26.4,66.46,67.66,177.66
1304,1305,encourage,v,73251,73.77,0.03,0.0,48331,0.95,11306,11358,1708,6365,2779,11272,9426,19037,90.99,88.31,13.34,50.46,23.49,89.4,77.43,158.92
1305,1306,matter,v,73171,73.69,0.03,0.01,46476,0.98,13680,10178,13931,8960,10926,6666,5459,3371,110.1,79.14,108.77,71.03,92.34,52.87,44.84,28.14
1307,1308,smile,v,73137,73.65,0.04,0.0,30852,0.84,3114,5297,5063,2282,48212,4582,3686,901,25.06,41.19,39.53,18.09,407.46,36.34,30.28,7.52
1312,1313,fire,v,72911,73.42,0.07,0.02,38807,0.98,7962,7813,15850,11305,8626,7896,11445,2014,64.08,60.75,123.76,89.63,72.9,62.62,94.01,16.81
1327,1328,conduct,v,72181,72.69,0.01,0.0,40870,0.92,6000,9109,1761,5665,1812,8736,10050,29048,48.29,70.82,13.75,44.91,15.31,69.28,82.55,242.49
1334,1335,complete,v,71752,72.26,0.03,0.0,44779,0.94,8051,10576,2995,3267,3839,9772,11547,21705,64.79,82.23,23.38,25.9,32.45,77.5,94.85,181.19
1338,1339,refuse,v,71277,71.78,0.02,0.0,46162,0.97,11230,11210,4757,7247,10021,8849,10676,7287,90.38,87.16,37.14,57.45,84.69,70.18,87.69,60.83
1341,1342,introduce,v,71221,71.72,0.03,0.0,48231,0.97,7954,9954,5806,6601,5431,11750,8798,14927,64.01,77.39,45.33,52.33,45.9,93.19,72.27,124.61
1342,1343,roll,v,71123,71.62,0.08,0.01,45222,0.95,6551,6819,8822,6972,21330,10773,8103,1753,52.72,53.02,68.88,55.27,180.27,85.44,66.56,14.63
1349,1350,earn,v,70697,71.19,0.02,0.01,45075,0.96,11257,9994,4199,4763,4258,13151,16189,6886,90.6,77.71,32.79,37.76,35.99,104.3,132.98,57.48
1352,1353,examine,v,70501,71.0,0.03,0.0,35662,0.89,4683,7966,1831,3280,6079,6447,4606,35609,37.69,61.94,14.3,26.0,51.38,51.13,37.83,297.26
1356,1357,gain,v,70275,70.77,0.02,0.0,48443,0.96,10673,11471,2768,6273,4128,10900,9694,14368,85.9,89.19,21.61,49.73,34.89,86.45,79.63,119.94
1357,1358,result,v,70269,70.76,0.05,0.01,41774,0.92,9487,12365,888,2406,1294,8629,7874,27326,76.35,96.14,6.93,19.07,10.94,68.43,64.68,228.12
1361,1362,ignore,v,70007,70.5,0.05,0.0,44824,0.97,14104,11864,4099,4913,11771,7854,6713,8689,113.51,92.25,32.0,38.95,99.48,62.29,55.14,72.53
1362,1363,welcome,v,69914,70.41,0.47,0.01,45808,0.94,6204,5451,17044,23644,4698,4638,5647,2588,49.93,42.38,133.08,187.45,39.71,36.78,46.38,21.6
1364,1365,jump,v,69861,70.35,0.05,0.01,44907,0.97,8473,7854,11448,8340,15947,8006,7973,1820,68.19,61.07,89.39,66.12,134.78,63.49,65.49,15.19
1370,1371,promote,v,69398,69.89,0.03,0.0,40522,0.94,11051,10816,1602,4273,1042,9389,9317,21908,88.94,84.1,12.51,33.88,8.81,74.46,76.53,182.89
1377,1378,remind,v,69182,69.67,0.04,0.0,48458,0.98,11420,9286,9045,6726,14262,7872,5549,5022,91.91,72.2,70.62,53.32,120.54,62.43,45.58,41.92
1379,1380,fit,v,68996,69.48,0.02,0.01,47493,0.98,10910,9633,6916,5373,7760,13071,6892,8441,87.8,74.9,54.0,42.6,65.58,103.66,56.61,70.46
1383,1384,steal,v,68807,69.29,0.05,0.01,36405,0.98,7939,7437,20390,6151,10276,5331,9443,1840,63.89,57.82,159.2,48.76,86.85,42.28,77.57,15.36
1397,1398,cry,v,68161,68.64,0.03,0.01,35867,0.94,6070,8025,11537,6826,24135,5749,4365,1454,48.85,62.4,90.08,54.12,203.98,45.59,35.85,12.14
1404,1405,commit,v,67792,68.27,0.02,0.0,42887,0.97,10210,11044,5525,11764,3359,7544,10359,7987,82.17,85.87,43.14,93.26,28.39,59.83,85.09,66.67
1407,1408,associate,v,67750,68.23,0.02,0.0,34442,0.89,7026,9677,904,3374,1362,7577,4326,33504,56.55,75.24,7.06,26.75,11.51,60.09,35.53,279.69
1431,1432,collect,v,67062,67.53,0.03,0.0,40648,0.96,6979,9214,4144,4668,6303,9980,8708,17066,56.17,71.64,32.36,37.01,53.27,79.15,71.53,142.47
1433,1434,burn,v,66886,67.36,0.05,0.01,38907,0.98,6912,7697,13463,6030,14673,9268,5962,2881,55.63,59.85,105.12,47.81,124.01,73.5,48.97,24.05
1435,1436,wake,v,66773,67.24,0.13,0.01,37377,0.96,7270,7739,18281,5826,17595,5380,3721,961,58.51,60.17,142.74,46.19,148.7,42.67,30.56,8.02
1436,1437,contribute,v,66772,67.24,0.04,0.0,43626,0.94,8985,10374,905,4031,1137,9157,10982,21201,72.31,80.66,7.07,31.96,9.61,72.62,90.21,176.98
1437,1438,ride,v,66723,67.19,0.05,0.01,36250,0.96,6690,6482,10337,4570,15189,12985,8686,1784,53.84,50.4,80.71,36.23,128.37,102.98,71.35,14.89
1440,1441,order,v,66657,67.13,0.03,0.01,42754,0.98,6306,8961,9585,6351,10287,9553,10899,4715,50.75,69.67,74.84,50.35,86.94,75.76,89.53,39.36
1448,1449,stare,v,66392,66.86,0.02,0.0,27564,0.83,2484,3703,4410,1359,47317,4133,2068,918,19.99,28.79,34.43,10.77,399.9,32.78,16.99,7.66
1450,1451,limit,v,66220,66.69,0.02,0.0,43175,0.94,9743,11362,1178,4111,1525,9594,9481,19226,78.41,88.34,9.2,32.59,12.89,76.09,77.88,160.5
1451,1452,appreciate,v,66216,66.68,0.05,0.01,44843,0.98,11684,8944,12962,12160,5205,6043,4774,4444,94.03,69.54,101.21,96.4,43.99,47.93,39.21,37.1
1453,1454,observe,v,66197,66.66,0.03,0.0,34666,0.92,5776,9898,1927,2091,5422,11538,3776,25769,46.49,76.96,15.05,16.58,45.82,91.51,31.02,215.12
1458,1459,attack,v,65959,66.42,0.03,0.01,37024,0.97,10342,10346,8495,12732,4534,7388,7682,4444,83.23,80.44,66.33,100.94,38.32,58.59,63.1,37.1
1460,1461,survive,v,65838,66.3,0.02,0.0,42913,0.98,8102,8685,8316,8237,7286,10527,8480,6205,65.21,67.53,64.93,65.3,61.58,83.49,69.66,51.8
1476,1477,deny,v,64887,65.34,0.02,0.0,40496,0.97,9650,10854,4742,9450,4018,7255,10406,8512,77.66,84.39,37.03,74.92,33.96,57.54,85.48,71.06
1480,1481,recall,v,64789,65.24,0.04,0.0,41581,0.96,6458,6527,2619,4839,7546,14500,14827,7472,51.97,50.75,20.45,38.36,63.78,115.0,121.79,62.38
1481,1482,fix,v,64728,65.18,0.05,0.01,39640,0.98,9829,9395,13868,6704,9875,6233,5445,3379,79.1,73.05,108.28,53.15,83.46,49.43,44.73,28.21
1483,1484,connect,v,64462,64.91,0.05,0.01,42516,0.97,10517,10962,5107,5616,4715,10347,6968,10230,84.64,85.23,39.88,44.52,39.85,82.06,57.24,85.4
1492,1493,grab,v,63946,64.4,0.09,0.01,37432,0.93,4884,5116,13377,4700,23872,6367,4810,820,39.31,39.78,104.45,37.26,201.75,50.5,39.51,6.85
1509,1510,charge,v,63379,63.82,0.02,0.0,39571,0.96,7564,8111,5299,10088,4187,8613,14785,4732,60.88,63.07,41.37,79.98,35.39,68.31,121.45,39.5
1511,1512,demonstrate,v,63269,63.71,0.01,0.0,36971,0.91,7606,8947,1148,3616,1795,7338,4896,27923,61.21,69.57,8.96,28.67,15.17,58.2,40.22,233.1
1516,1517,mind,v,62869,63.31,0.08,0.01,40433,0.97,7817,6321,23090,4292,11802,4425,3337,1785,62.91,49.15,180.29,34.03,99.74,35.09,27.41,14.9
1520,1521,hire,v,62794,63.24,0.03,0.0,37376,0.97,8967,8105,7438,6947,5417,7838,14037,4045,72.17,63.02,58.08,55.08,45.78,62.16,115.3,33.77
1534,1535,measure,v,61601,62.03,0.05,0.0,32149,0.92,6504,8358,1284,3040,2772,10810,4861,23972,52.34,64.99,10.03,24.1,23.43,85.73,39.93,200.12
1536,1537,cross,v,61522,61.95,0.06,0.01,39309,0.96,5835,6193,6924,6157,17441,8151,6521,4300,46.96,48.15,54.06,48.81,147.4,64.64,53.56,35.9
1538,1539,settle,v,61424,61.86,0.04,0.01,41987,0.97,5452,6146,7521,4859,15064,8614,8643,5125,43.88,47.79,58.72,38.52,127.31,68.32,70.99,42.78
1542,1543,operate,v,61296,61.73,0.02,0.0,39769,0.96,7622,8735,2513,5623,2327,9967,12094,12415,61.34,67.92,19.62,44.58,19.67,79.05,99.34,103.64
1543,1544,fuck,v,61292,61.72,0.48,0.02,11081,0.83,3711,2626,46659,4,7147,979,1,165,29.87,20.42,364.31,0.03,60.4,7.76,0.01,1.38
1544,1545,view,v,61111,61.54,0.04,0.0,39853,0.94,9107,10955,778,3839,2122,8693,7871,17746,73.29,85.18,6.07,30.44,17.93,68.94,64.65,148.14
1586,1587,spread,v,59483,59.9,0.07,0.01,40861,0.97,6873,7461,4360,5039,11146,11837,7546,5221,55.31,58.01,34.04,39.95,94.2,93.88,61.98,43.58
1590,1591,kick,v,59307,59.72,0.06,0.01,39256,0.98,7356,6247,13929,6008,11995,6463,6475,834,59.2,48.57,108.76,47.63,101.38,51.26,53.19,6.96
1596,1597,threaten,v,59034,59.45,0.01,0.0,40153,0.98,6699,7473,5429,8540,5312,7801,9494,8286,53.91,58.1,42.39,67.7,44.89,61.87,77.98,69.17
1600,1601,blame,v,58815,59.23,0.04,0.01,37107,0.98,11336,8982,8362,8831,5608,5404,7524,2768,91.23,69.84,65.29,70.01,47.4,42.86,61.8,23.11
1603,1604,depend,v,58725,59.14,0.04,0.0,41042,0.96,8381,9998,4294,6667,3163,8028,5340,12854,67.45,77.74,33.53,52.86,26.73,63.67,43.86,107.3
1615,1616,ensure,v,58156,58.56,0.02,0.0,37383,0.94,9467,11075,1166,2732,1393,8440,6866,17017,76.19,86.11,9.1,21.66,11.77,66.94,56.4,142.06
1625,1626,intend,v,57970,58.38,0.01,0.0,40351,0.97,8796,10484,3663,5112,6123,6638,7271,9883,70.79,81.52,28.6,40.53,51.75,52.64,59.72,82.5
1630,1631,approach,v,57607,58.01,0.02,0.0,40391,0.97,6326,6798,3334,4862,13022,8045,6764,8456,50.91,52.86,26.03,38.55,110.06,63.8,55.56,70.59
1632,1633,gather,v,57562,57.97,0.04,0.0,41416,0.97,5225,6514,3915,6170,12545,8518,7925,6750,42.05,50.65,30.57,48.92,106.02,67.55,65.1,56.35
1635,1636,cook,v,57383,57.79,0.11,0.02,24059,0.93,5475,4944,6517,4354,5849,16931,12010,1303,44.06,38.44,50.88,34.52,49.43,134.28,98.65,10.88
1636,1637,participate,v,57361,57.76,0.01,0.0,34306,0.92,7518,8165,1168,4448,1098,5650,7275,22039,60.51,63.48,9.12,35.26,9.28,44.81,59.76,183.98
1640,1641,dress,v,56967,57.37,0.08,0.01,34651,0.95,5084,4514,8306,4277,16441,9688,6064,2593,40.92,35.1,64.85,33.91,138.95,76.83,49.81,21.65
1643,1644,recommend,v,56938,57.34,0.04,0.0,37426,0.95,9056,12049,2703,3777,1660,11460,6943,9290,72.88,93.68,21.1,29.94,14.03,90.89,57.03,77.55
1649,1650,explore,v,56474,56.87,0.06,0.01,35659,0.93,6817,8251,1922,2761,2684,9797,5761,18481,54.86,64.15,15.01,21.89,22.68,77.7,47.32,154.28
1650,1651,extend,v,56458,56.85,0.03,0.0,38703,0.96,6463,8878,1432,3896,5604,9405,7214,13566,52.01,69.03,11.18,30.89,47.36,74.59,59.26,113.25
1652,1653,invite,v,56415,56.81,0.03,0.01,39727,0.99,5909,6572,9609,6015,7537,7398,7109,6266,47.56,51.1,75.03,47.69,63.7,58.67,58.39,52.31
1653,1654,tie,v,56394,56.79,0.05,0.01,39467,0.98,6617,6313,6769,5036,9152,7922,9815,4770,53.25,49.09,52.85,39.93,77.35,62.83,80.62,39.82
1655,1656,belong,v,56342,56.74,0.02,0.01,37545,0.99,5866,7594,9977,4158,8800,6053,5174,8720,47.21,59.05,77.9,32.96,74.37,48.0,42.5,72.79
1656,1657,obtain,v,56312,56.71,0.01,0.0,30157,0.9,5895,10571,800,2297,1143,5504,5998,24104,47.44,82.19,6.25,18.21,9.66,43.65,49.27,201.22
1663,1664,feature,v,55868,56.26,0.04,0.0,37187,0.93,8638,10029,570,2293,1450,12638,14818,5432,69.52,77.98,4.45,18.18,12.25,100.23,121.72,45.35
1665,1666,defend,v,55825,56.22,0.03,0.0,34786,0.97,10344,9080,4174,9297,2880,5902,8230,5918,83.25,70.6,32.59,73.71,24.34,46.81,67.6,49.4
1675,1676,demand,v,55168,55.56,0.03,0.0,38441,0.97,8299,7933,2433,5165,7345,7814,8349,7830,66.79,61.68,19.0,40.95,62.08,61.97,68.58,65.36
1678,1679,attempt,v,54992,55.38,0.02,0.0,37810,0.95,9104,10001,2127,3412,4402,6685,5855,13405,73.27,77.76,16.61,27.05,37.2,53.02,48.09,111.9
1680,1681,lift,v,54954,55.34,0.06,0.01,32683,0.92,3535,4547,4072,4323,22199,8602,5472,2204,28.45,35.35,31.79,34.27,187.62,68.22,44.95,18.4
1690,1691,excuse,v,54672,55.06,0.69,0.02,26236,0.9,1942,1731,38723,5224,5038,840,695,479,15.63,13.46,302.35,41.42,42.58,6.66,5.71,4.0
1693,1694,search,v,54487,54.87,0.08,0.01,36438,0.98,7831,8257,6009,5058,9949,6825,5565,4993,63.02,64.2,46.92,40.1,84.08,54.13,45.71,41.68
1695,1696,emerge,v,54379,54.76,0.01,0.0,36440,0.95,4182,5746,879,3549,7762,9238,7328,15695,33.66,44.68,6.86,28.14,65.6,73.26,60.19,131.02
1698,1699,judge,v,54271,54.65,0.27,0.02,31162,0.96,8647,7800,6013,9516,4569,5017,5499,7210,69.59,60.65,46.95,75.44,38.61,39.79,45.17,60.19
1706,1707,combine,v,54133,54.51,0.12,0.0,36815,0.94,6330,7346,1086,2285,1436,14992,9031,11627,50.94,57.12,8.48,18.12,12.14,118.9,74.18,97.06
1714,1715,train,v,53865,54.24,0.04,0.01,34344,0.98,6520,6672,5005,6463,4736,8142,8035,8292,52.47,51.88,39.08,51.24,40.03,64.57,66.0,69.22
1718,1719,link,v,53674,54.05,0.05,0.0,34420,0.95,9813,9254,1848,3460,2059,8146,5761,13333,78.98,71.95,14.43,27.43,17.4,64.6,47.32,111.3
1719,1720,deserve,v,53654,54.03,0.01,0.01,36672,0.98,10430,8691,10947,6030,4628,4585,5371,2972,83.94,67.57,85.47,47.81,39.11,36.36,44.12,24.81
