,rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
4746,4747,carve,v,13085,13.18,0.04,0.01,9673,0.95,915,1028,1065,713,2789,3264,1657,1654,7.36,7.99,8.32,5.65,23.57,25.89,13.61,13.81
4760,4761,specialize,v,13006,13.1,0.03,0.0,11206,0.95,1618,1678,543,795,742,3252,2811,1567,13.02,13.05,4.24,6.3,6.27,25.79,23.09,13.08
4768,4769,forbid,v,12965,13.06,0.02,0.0,10211,0.98,1856,2113,1599,1002,1958,1524,1418,1495,14.94,16.43,12.48,7.94,16.55,12.09,11.65,12.48
4770,4771,boil,v,12959,13.05,0.06,0.0,9790,0.95,1766,1534,972,1048,2061,3134,1918,526,14.21,11.93,7.59,8.31,17.42,24.86,15.75,4.39
4775,4776,equip,v,12943,13.03,0.04,0.0,10615,0.95,1454,1737,592,949,863,3328,1767,2253,11.7,13.51,4.62,7.52,7.29,26.39,14.51,18.81
4777,4778,betray,v,12934,13.02,0.03,0.0,9501,0.98,1241,1589,3071,1087,2723,1273,880,1070,9.99,12.35,23.98,8.62,23.01,10.1,7.23,8.93
4783,4784,rain,v,12924,13.01,0.07,0.02,9531,0.95,1216,1279,2362,1144,3817,1502,1211,393,9.79,9.94,18.44,9.07,32.26,11.91,9.95,3.28
4784,4785,exchange,v,12921,13.01,0.01,0.0,10405,0.96,1216,1652,812,853,3466,1728,1485,1709,9.79,12.84,6.34,6.76,29.29,13.7,12.2,14.27
4797,4798,outline,v,12859,12.95,0.02,0.0,10636,0.94,1666,1861,172,1179,915,1443,1544,4079,13.41,14.47,1.34,9.35,7.73,11.44,12.68,34.05
4801,4802,spit,v,12849,12.94,0.08,0.02,9740,0.93,1076,1160,2615,697,5019,1169,835,278,8.66,9.02,20.42,5.53,42.42,9.27,6.86,2.32
4806,4807,battle,v,12822,12.91,0.04,0.01,11016,0.95,1755,1601,932,1783,902,2149,3213,487,14.12,12.45,7.28,14.14,7.62,17.04,26.39,4.07
4807,4808,cure,v,12811,12.9,0.04,0.01,8374,0.97,1503,1705,1881,1294,1480,2184,1021,1743,12.1,13.26,14.69,10.26,12.51,17.32,8.39,14.55
4810,4811,piss,v,12791,12.88,0.06,0.01,8768,0.93,2497,1510,5402,295,2405,536,104,42,20.1,11.74,42.18,2.34,20.33,4.25,0.85,0.35
4815,4816,arm,v,12779,12.87,0.12,0.0,9821,0.98,1467,1642,1584,1995,1442,1938,1767,944,11.81,12.77,12.37,15.82,12.19,15.37,14.51,7.88
4819,4820,transport,v,12766,12.86,0.03,0.0,9774,0.97,1366,1909,1405,847,1201,2229,1750,2059,10.99,14.84,10.97,6.71,10.15,17.68,14.37,17.19
4826,4827,thrive,v,12742,12.83,0.03,0.0,10835,0.95,1940,1671,569,839,774,3338,2222,1389,15.61,12.99,4.44,6.65,6.54,26.47,18.25,11.6
4832,4833,unfold,v,12727,12.82,0.02,0.0,10707,0.97,1508,1711,412,1937,2094,1786,1724,1555,12.14,13.3,3.22,15.36,17.7,14.16,14.16,12.98
4835,4836,chop,v,12715,12.8,0.11,0.01,6279,0.84,485,438,953,447,1125,6299,2834,135,3.9,3.41,7.44,3.54,9.51,49.96,23.28,1.13
4842,4843,nominate,v,12699,12.79,0.04,0.0,7738,0.93,1705,1959,479,3483,245,1438,2423,966,13.72,15.23,3.74,27.61,2.07,11.4,19.9,8.06
4844,4845,uncover,v,12692,12.78,0.05,0.0,10266,0.96,1339,1672,711,1366,1058,2858,1667,2021,10.78,13.0,5.55,10.83,8.94,22.67,13.69,16.87
4853,4854,scratch,v,12637,12.73,0.07,0.01,9970,0.93,1191,1167,1868,912,4730,1426,967,376,9.59,9.07,14.59,7.23,39.98,11.31,7.94,3.14
4854,4855,verify,v,12629,12.72,0.03,0.0,8970,0.95,2275,2786,834,1140,651,1308,1178,2457,18.31,21.66,6.51,9.04,5.5,10.37,9.68,20.51
4856,4857,inherit,v,12611,12.7,0.03,0.0,9515,0.97,1417,1955,920,1140,2029,1878,1688,1584,11.4,15.2,7.18,9.04,17.15,14.89,13.87,13.22
4857,4858,strive,v,12596,12.68,0.03,0.0,10253,0.93,2367,2315,444,464,684,1720,1716,2886,19.05,18.0,3.47,3.68,5.78,13.64,14.1,24.09
4883,4884,aid,v,12471,12.56,0.04,0.0,10331,0.95,1626,1900,506,795,624,1940,1840,3240,13.09,14.77,3.95,6.3,5.27,15.39,15.11,27.05
4887,4888,counter,v,12446,12.53,0.03,0.0,10288,0.96,1741,1677,294,1030,1226,1929,2217,2332,14.01,13.04,2.3,8.17,10.36,15.3,18.21,19.47
4889,4890,whip,v,12443,12.53,0.08,0.02,9580,0.94,977,895,1640,925,3725,2402,1616,263,7.86,6.96,12.81,7.33,31.48,19.05,13.27,2.2
4901,4902,induce,v,12416,12.5,0.02,0.0,7454,0.89,1312,2573,403,376,587,1687,605,4873,10.56,20.01,3.15,2.98,4.96,13.38,4.97,40.68
4908,4909,spark,v,12395,12.48,0.1,0.01,10823,0.96,1468,1541,520,1583,1047,2278,2827,1131,11.81,11.98,4.06,12.55,8.85,18.07,23.22,9.44
4915,4916,fan,v,12388,12.48,0.11,0.02,9490,0.95,2454,1797,741,1013,1863,1471,2384,665,19.75,13.97,5.79,8.03,15.75,11.67,19.58,5.55
4919,4920,tax,v,12374,12.46,0.04,0.0,6979,0.93,3023,2783,154,2178,223,1363,1816,834,24.33,21.64,1.2,17.27,1.88,10.81,14.92,6.96
4923,4924,peel,v,12364,12.45,0.09,0.01,8449,0.91,591,595,721,618,3444,3785,2367,243,4.76,4.63,5.63,4.9,29.11,30.02,19.44,2.03
4924,4925,campaign,v,12363,12.45,0.1,0.0,9068,0.92,1958,1713,247,3812,140,1388,2433,672,15.76,13.32,1.93,30.22,1.18,11.01,19.98,5.61
4937,4938,chew,v,12299,12.39,0.09,0.01,9072,0.93,959,961,1984,745,4764,1616,900,370,7.72,7.47,15.49,5.91,40.26,12.82,7.39,3.09
4945,4946,invade,v,12265,12.35,0.02,0.0,9082,0.96,1745,1843,1075,1894,1224,1771,1407,1306,14.04,14.33,8.39,15.02,10.34,14.05,11.56,10.9
4954,4955,extract,v,12222,12.31,0.03,0.0,8895,0.95,1531,1810,720,616,1439,2136,998,2972,12.32,14.07,5.62,4.88,12.16,16.94,8.2,24.81
4966,4967,foster,v,12185,12.27,0.03,0.0,9156,0.9,1287,1471,265,376,281,1830,1348,5327,10.36,11.44,2.07,2.98,2.37,14.51,11.07,44.47
4968,4969,discourage,v,12176,12.26,0.01,0.0,10194,0.96,1711,1723,365,1083,895,2091,1971,2337,13.77,13.4,2.85,8.59,7.56,16.58,16.19,19.51
5004,5005,upgrade,v,12053,12.14,0.05,0.01,8360,0.93,2559,3217,457,532,284,2356,1763,885,20.59,25.01,3.57,4.22,2.4,18.68,14.48,7.39
5008,5009,leak,v,12029,12.11,0.02,0.0,8603,0.96,1429,1370,1297,2472,1673,1851,1361,576,11.5,10.65,10.13,19.6,14.14,14.68,11.18,4.81
5014,5015,shrink,v,12008,12.09,0.02,0.0,9844,0.96,1439,1536,679,946,2047,2533,1866,962,11.58,11.94,5.3,7.5,17.3,20.09,15.33,8.03
5015,5016,chat,v,11999,12.08,0.04,0.01,9862,0.97,1898,1410,1186,955,2453,1967,1618,512,15.28,10.96,9.26,7.57,20.73,15.6,13.29,4.27
5038,5039,align,v,11912,12.0,0.03,0.0,8606,0.92,1773,1981,401,616,516,2005,1017,3603,14.27,15.4,3.13,4.88,4.36,15.9,8.35,30.08
5046,5047,persist,v,11880,11.96,0.01,0.0,9554,0.94,1181,1620,170,541,1302,2008,1198,3860,9.5,12.6,1.33,4.29,11.0,15.92,9.84,32.22
